"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 06월 21일","2,357.53","2,358.23","2,359.97","2,346.19","360.34M","-0.49%"
"2017년 06월 20일","2,369.23","2,382.54","2,382.54","2,365.45","360.73M","-0.07%"
"2017년 06월 19일","2,370.90","2,364.02","2,377.20","2,356.84","290.94M","0.38%"
"2017년 06월 16일","2,361.83","2,364.20","2,365.37","2,355.29","329.18M","0.01%"
"2017년 06월 15일","2,361.65","2,373.36","2,378.04","2,350.37","334.89M","-0.46%"
"2017년 06월 14일","2,372.64","2,384.54","2,387.29","2,366.92","393.00M","-0.09%"
"2017년 06월 13일","2,374.70","2,358.92","2,375.81","2,358.92","322.08M","0.71%"
"2017년 06월 12일","2,357.87","2,370.69","2,374.70","2,353.35","327.23M","-1.00%"
"2017년 06월 09일","2,381.69","2,371.22","2,385.15","2,367.81","520.56M","0.77%"
"2017년 06월 08일","2,363.57","2,361.64","2,365.52","2,347.62","417.08M","0.15%"
"2017년 06월 07일","2,360.14","2,364.96","2,369.43","2,356.71","376.21M","-0.36%"
"2017년 06월 05일","2,368.62","2,376.66","2,376.83","2,363.61","326.41M","-0.13%"
"2017년 06월 02일","2,371.72","2,353.77","2,372.65","2,353.45","399.50M","1.16%"
"2017년 06월 01일","2,344.61","2,348.31","2,351.31","2,335.63","336.69M","-0.12%"
"2017년 05월 31일","2,347.38","2,339.25","2,355.23","2,338.25","555.94M","0.16%"
"2017년 05월 30일","2,343.68","2,356.54","2,358.69","2,332.16","508.84M","-0.39%"
"2017년 05월 29일","2,352.97","2,362.59","2,371.67","2,344.25","316.18M","-0.10%"
"2017년 05월 26일","2,355.30","2,344.39","2,364.80","2,341.61","312.90M","0.53%"
"2017년 05월 25일","2,342.93","2,325.49","2,343.72","2,321.26","369.28M","1.10%"
"2017년 05월 24일","2,317.34","2,319.37","2,322.54","2,312.93","409.56M","0.24%"
"2017년 05월 23일","2,311.74","2,308.69","2,326.57","2,303.15","341.08M","0.33%"
"2017년 05월 22일","2,304.03","2,300.68","2,305.21","2,292.95","340.06M","0.68%"
"2017년 05월 19일","2,288.48","2,286.78","2,293.82","2,282.13","421.13M","0.07%"
"2017년 05월 18일","2,286.82","2,271.27","2,288.85","2,267.08","378.32M","-0.27%"
"2017년 05월 17일","2,293.08","2,291.56","2,295.87","2,283.01","394.82M","-0.10%"
"2017년 05월 16일","2,295.33","2,306.73","2,309.00","2,283.84","368.14M","0.20%"
"2017년 05월 15일","2,290.65","2,288.23","2,297.31","2,280.60","251.59M","0.20%"
"2017년 05월 12일","2,286.02","2,296.06","2,296.51","2,283.38","335.34M","-0.45%"
"2017년 05월 11일","2,296.37","2,278.47","2,297.67","2,271.66","463.46M","1.16%"
